year,gdp_pc,source,unit
1900,3344.269008930474,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,3407.525641581868,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,3470.782274233261,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,3534.038906884655,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,3597.295539536049,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,3660.552172187442,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,3723.808804838835,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,3787.065437490229,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,3850.322070141623,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,3913.578702793016,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,3976.83533544441,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,3985.020606780266,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,3993.205878116122,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,4001.391149451978,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,4009.576420787834,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,4017.761692123689,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,4025.946963459545,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,4034.132234795401,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,4042.317506131257,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,4050.502777467113,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,4058.688048802969,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,4066.873320138825,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,4075.058591474681,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,4083.243862810537,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,4091.429134146393,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,4099.614405482249,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1926,3988.788113908278,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1927,3877.961822334308,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1928,3767.135530760338,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1929,3656.309239186367,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1930,3545.482947612397,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1931,3434.656656038426,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1932,3323.830364464456,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1933,3213.004072890485,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1934,3102.177781316515,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1935,2991.351489742544,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1936,2880.525198168574,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1937,2769.698906594604,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1938,2658.872615020633,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1939,2689.837267559325,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1940,2720.801920098018,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1941,2751.76657263671,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1942,2782.731225175402,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
