year,gdp_pc,source,unit
1900,3173.419054225342,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,3267.4239285802205,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,3361.428802935099,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,3455.4336772899783,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,3549.438551644857,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,3643.4434259997356,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,3737.4483003546143,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,3831.453174709493,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,3925.458049064372,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,4019.4629234192507,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,4113.467797774129,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,4199.967646388392,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,4286.467495002654,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,4372.967343616916,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,4459.467192231177,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,4545.967040845439,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,4632.466889459702,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,4718.966738073964,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,4805.466586688226,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,4891.966435302488,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,4978.46628391675,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,5064.966132531012,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,5151.465981145274,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,5237.965829759536,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,5324.465678373798,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,5410.96552698806,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1926,5327.854336646118,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1927,5244.743146304176,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1928,5161.631955962233,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1929,5078.520765620291,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1930,4995.409575278349,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1931,4912.298384936406,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1932,4829.187194594465,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1933,4746.076004252523,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1934,4662.96481391058,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1935,4579.853623568638,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1936,4496.7424332266955,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1937,4413.631242884753,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1938,4330.520052542811,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1939,4379.527319681318,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1940,4428.534586819825,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1941,4477.541853958332,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1942,4526.5491210968385,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1943,4575.556388235345,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1944,4624.563655373852,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1945,4673.570922512359,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1946,4722.578189650866,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1947,4771.585456789373,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1948,4820.59272392788,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1949,4869.599991066387,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1950,4918.607258204894,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1951,5112.712317962767,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1952,5306.817377720641,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1953,5500.922437478514,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1954,5695.027497236389,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1955,5889.132556994262,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1956,6083.237616752135,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1957,6277.342676510009,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1958,6471.447736267883,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1959,6665.552796025757,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1960,6859.65785578363,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1961,7411.812522247848,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1962,7963.967188712068,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1963,8516.121855176285,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1964,9068.276521640504,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1965,9620.431188104723,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1966,10172.58585456894,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1967,10724.74052103316,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1968,11276.895187497379,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1969,11829.049853961596,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1970,12381.204520425816,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1971,12934.150483598782,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1972,13487.096446771748,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1973,14040.042409944714,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1974,14592.988373117678,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
