year,gdp_pc,source,unit
1900,5469.937251538076,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,5646.864239079727,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,5823.791226621378,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,6000.718214163029,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,6177.6452017046795,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,6354.572189246331,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,6531.499176787982,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,6708.426164329632,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,6885.353151871284,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,7062.280139412935,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,7239.207126954585,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,7426.820373433243,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,7614.433619911898,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,7802.046866390555,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,7989.660112869213,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,8177.273359347867,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,8364.886605826525,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,8552.499852305182,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,8740.113098783839,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,8927.726345262492,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,9115.33959174115,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,9302.952838219808,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,9490.566084698463,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,9678.17933117712,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,9865.792577655775,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,10053.405824134432,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1926,10214.210564087374,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1927,10375.015304040317,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1928,10535.820043993257,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1929,10696.6247839462,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1930,10857.42952389914,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1931,11018.234263852082,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1932,11179.039003805021,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1933,11339.843743757961,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1934,11500.648483710902,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1935,11661.453223663846,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1936,11822.257963616785,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1937,11983.062703569725,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1938,12143.86744352267,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1939,12339.17109842337,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1940,12534.474753324072,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1941,12729.778408224774,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1942,12925.082063125477,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1943,13120.385718026178,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1944,13315.68937292688,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1945,13510.993027827582,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1946,13706.296682728283,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1947,13901.600337628986,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1948,14096.903992529687,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1949,14292.207647430387,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1950,14487.511302331091,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1951,14737.202580034602,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1952,14986.893857738114,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1953,15236.585135441625,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1954,15486.276413145137,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1955,15735.967690848647,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1956,15985.658968552161,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1957,16235.35024625567,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1958,16485.041523959182,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1959,16734.732801662693,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1960,16984.424079366203,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1961,17336.869985113157,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1962,17684.398386895693,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1963,18036.77513416519,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1964,18386.156317502544,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1965,18739.108466779795,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1966,19089.736714352748,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1967,19438.04289284382,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1968,19770.81952223895,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1969,20110.778222676578,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1970,20460.067780664467,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1971,20782.95266007749,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1972,21114.964342490144,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1973,21441.07351570588,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1974,21767.94541499609,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1975,27226.26192119765,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1976,27334.42173090981,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1977,27461.216441764816,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1978,27595.640992047094,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1979,27729.191598419762,eu15_population_weighted,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
