year,gdp_pc,source,unit
1900,2543.292232221359,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,2555.15423854947,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,2567.016244877581,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,2578.878251205692,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,2590.740257533803,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,2602.602263861914,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,2614.4642701900248,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,2626.3262765181357,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,2638.1882828462467,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,2650.0502891743577,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,2661.9122955024686,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,2683.5436058326677,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,2705.1749161628663,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,2726.8062264930654,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,2748.437536823264,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,2770.068847153463,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,2791.7001574836618,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,2813.331467813861,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,2834.9627781440595,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,2856.5940884742586,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,2878.225398804457,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,2899.8567091346563,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,2921.488019464855,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,2943.119329795054,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,2964.7506401252526,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,2986.3819504554517,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
