year,gdp_pc,source,unit
1900,4214.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,4247.7,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,4281.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,4315.099999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,4348.799999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,4382.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,4416.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,4449.9,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,4483.599999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,4517.299999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,4550.999999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,4602.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,4653.799999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,4705.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,4756.599999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,4808.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,4859.400000000001,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,4910.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,4962.200000000001,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,5013.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,5065.000000000001,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,5116.4000000000015,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
