year,gdp_pc,source,unit
1900,8315.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,8647.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,8980.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,9312.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,9645.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,9978.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,10310.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,10643.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,10975.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,11308.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,11641.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,11973.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,12306.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,12638.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,12971.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,13304.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,13636.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,13969.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,14301.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,14634.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,14967.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,15299.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,15632.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,15964.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,16297.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,16630.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1926,16962.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1927,17295.2,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1928,17627.8,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1929,17960.4,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1930,18293.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1931,18625.6,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
