year,gdp_pc,source,unit
1900,4062.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1901,4225.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1902,4387.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1903,4550.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1904,4712.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1905,4875.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1906,5037.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1907,5200.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1908,5362.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1909,5524.999999999999,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1910,5687.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1911,5850.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1912,6012.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1913,6175.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1914,6337.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1915,6500.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1916,6662.500000000001,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1917,6825.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1918,6987.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1919,7150.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1920,7312.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1921,7475.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1922,7637.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1923,7800.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1924,7962.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1925,8125.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1926,8287.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1927,8450.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1928,8612.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1929,8775.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1930,8937.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1931,9100.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1932,9262.500000000002,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1933,9425.000000000002,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1934,9587.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1935,9750.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1936,9912.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1937,10075.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1938,10237.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1939,10400.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1940,10562.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1941,10725.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1942,10887.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1943,11050.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1944,11212.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1945,11375.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1946,11537.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1947,11700.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1948,11862.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1949,12025.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1950,12187.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1951,12350.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1952,12512.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1953,12675.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1954,12837.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1955,13000.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1956,13162.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1957,13325.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1958,13487.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1959,13650.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1960,13812.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1961,13975.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1962,14137.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1963,14300.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1964,14462.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1965,14625.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1966,14787.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1967,14950.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1968,15112.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1969,15275.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1970,15437.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1971,15600.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1972,15762.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1973,15925.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1974,16087.5,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1975,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1976,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1977,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1978,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1979,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1980,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1981,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1982,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1983,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1984,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1985,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1986,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1987,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1988,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1989,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1990,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1991,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1992,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1993,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1994,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1995,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1996,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1997,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1998,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
1999,16940.0,roseswolf,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2000,16250.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2001,16450.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2002,16490.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2003,16280.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2004,16530.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2005,16630.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2006,16860.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2007,17250.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2008,17280.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2009,16730.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2010,17010.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2011,16720.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2012,16110.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2013,16030.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2014,16240.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2015,16560.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
2016,16930.0,roseswolf_chainlinked,"2011 PPP dollars per inhabitant (chain-linked, Act II)"
