year,gdp_pc,source,unit
1900,3173.419054225342,RW,2011 PPP dollars per inhabitant
1910,4113.467797774129,RW,2011 PPP dollars per inhabitant
1925,5410.96552698806,RW,2011 PPP dollars per inhabitant
1938,4330.520052542811,RW,2011 PPP dollars per inhabitant
1950,4918.607258204894,RW,2011 PPP dollars per inhabitant
1960,6859.65785578363,RW,2011 PPP dollars per inhabitant
1970,12381.204520425817,RW,2011 PPP dollars per inhabitant
1980,17910.664152155474,RW,2011 PPP dollars per inhabitant
1990,24160.46674256804,RW,2011 PPP dollars per inhabitant
2000,27821.010177129643,RW,2011 PPP dollars per inhabitant
2000,27821.010177129643,INE,2011 PPP dollars per inhabitant
2005,33385.212212555569,INE,2011 PPP dollars per inhabitant
2015,35714.154845492638,INE,2011 PPP dollars per inhabitant
2022,43067.395649605030,INE,2011 PPP dollars per inhabitant
2024,50094.473450892503,INE,2011 PPP dollars per inhabitant
