series,year,value,unit,source_note
INE GDP pc,2000,20045.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2001,21350.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2002,21837.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2003,22109.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2004,22975.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2005,24054.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2006,25259.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2007,26092.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2008,26377.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2009,24832.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2010,24638.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2011,24324.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2012,23810.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2013,23719.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2014,24454.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2015,25732.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2016,26922.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2017,28001.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2018,28906.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2019,29458.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2020,22611.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2021,25807.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2022,31030.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2023,33995.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
INE GDP pc,2024,36093.0,euros per inhabitant (current prices),INE CRE 2024 from data-lake source 01KPVCVSTJQZDPAVR8E975SCE3
