year,Illes Balears (ES53),Región de Murcia (ES62),Andalucía (ES61),Cataluña (ES51),Comunidad Valenciana (ES52),Aragón (ES24),Belgium (avg),Portugal (avg),France (avg),IRELAND (avg),Italy (avg)
1900,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1901,103.0923,102.0403,102.4577,101.5505,100.7195,101.2983,102.4439,100.2194,101.3173,99.7145,102.9234
1902,106.2803,104.1223,104.9757,103.1250,101.4442,102.6135,104.9475,100.4394,102.6519,99.4297,105.9323
1903,109.5668,106.2467,107.5557,104.7239,102.1741,103.9458,107.5123,100.6598,104.0041,99.1458,109.0291
1904,112.9550,108.4145,110.1991,106.3476,102.9092,105.2954,110.1398,100.8806,105.3741,98.8627,112.2165
1905,116.4479,110.6265,112.9074,107.9965,103.6496,106.6625,112.8315,101.1020,106.7621,98.5804,115.4970
1906,120.0488,112.8836,115.6823,109.6710,104.3954,108.0473,115.5890,101.3239,108.1685,98.2990,118.8735
1907,123.7611,115.1868,118.5254,111.3714,105.1465,109.4501,118.4138,101.5462,109.5933,98.0183,122.3486
1908,127.5882,117.5370,121.4384,113.0982,105.9030,110.8711,121.3077,101.7691,111.0369,97.7384,125.9254
1909,131.5336,119.9351,124.4229,114.8517,106.6650,112.3106,124.2724,101.9924,112.4996,97.4593,129.6067
1910,135.6011,122.3821,127.4808,116.6325,107.4324,113.7688,127.3095,102.2162,113.9815,97.1810,133.3956
1911,138.8087,126.2079,128.9733,120.1283,110.9623,116.9672,125.8602,104.2281,115.8665,97.3309,134.1168
1912,142.0921,130.1533,130.4833,123.7290,114.6081,120.2556,124.4274,106.2797,117.7827,97.4810,134.8419
1913,145.4532,134.2220,132.0109,127.4375,118.3737,123.6364,123.0109,108.3716,119.7305,97.6314,135.5710
1914,148.8939,138.4179,133.5564,131.2572,122.2630,127.1123,121.6105,110.5047,121.7106,97.7820,136.3040
1915,152.4159,142.7449,135.1200,135.1914,126.2801,130.6858,120.2261,112.6798,123.7234,97.9328,137.0409
1916,156.0212,147.2073,136.7020,139.2436,130.4292,134.3599,118.8574,114.8977,125.7695,98.0838,137.7818
1917,159.7118,151.8091,138.3024,143.4172,134.7146,138.1372,117.5043,117.1592,127.8494,98.2351,138.5268
1918,163.4897,156.5548,139.9216,147.7158,139.1408,142.0207,116.1667,119.4653,129.9638,98.3866,139.2757
1919,167.3570,161.4488,141.5597,152.1434,143.7125,146.0134,114.8442,121.8167,132.1131,98.5383,140.0288
1920,171.3158,166.4959,143.2170,156.7036,148.4344,150.1184,113.5368,124.2145,134.2979,98.6903,140.7858
1921,175.3681,171.7007,144.8937,161.4005,153.3114,154.3387,112.2443,126.6594,136.5189,98.8425,141.5470
1922,179.5164,177.0682,146.5901,166.2382,158.3486,158.6777,110.9665,129.1525,138.7766,98.9950,142.3123
1923,183.7628,182.6035,148.3063,171.2209,163.5514,163.1387,109.7033,131.6946,141.0717,99.1477,143.0817
1924,188.1096,188.3118,150.0426,176.3530,168.9251,167.7251,108.4544,134.2868,143.4047,99.3006,143.8553
1925,192.5592,194.1986,151.7992,181.6389,174.4753,172.4405,107.2198,136.9300,145.7763,99.4537,144.6331
1926,190.8536,190.6884,148.2707,176.5316,170.8383,167.2933,107.4154,140.2733,147.6579,100.3555,147.0560
1927,189.1630,187.2416,144.8243,171.5680,167.2771,162.2997,107.6114,143.6982,149.5639,101.2654,149.5194
1928,187.4874,183.8571,141.4579,166.7440,163.7901,157.4552,107.8077,147.2068,151.4945,102.1835,152.0241
1929,185.8266,180.5338,138.1698,162.0556,160.3758,152.7553,108.0044,150.8011,153.4500,103.1100,154.5708
1930,184.1806,177.2706,134.9581,157.4990,157.0327,148.1957,108.2015,154.4831,155.4307,104.0449,157.1601
1931,182.5491,174.0663,131.8211,153.0705,153.7593,143.7722,108.3989,158.2550,157.4370,104.9882,159.7929
1932,180.9321,170.9200,128.7570,148.7666,150.5541,139.4807,108.5967,162.1190,159.4692,105.9401,162.4697
1933,179.3294,167.8305,125.7641,144.5837,147.4157,135.3173,108.7949,166.0773,161.5277,106.9007,165.1913
1934,177.7409,164.7969,122.8408,140.5183,144.3427,131.2782,108.9934,170.1323,163.6127,107.8699,167.9586
1935,176.1665,161.8181,119.9854,136.5673,141.3338,127.3596,109.1923,174.2864,165.7246,108.8480,170.7722
