year,Illes Balears (ES53),Región de Murcia (ES62),Andalucía (ES61),Cataluña (ES51),Comunidad Valenciana (ES52),Aragón (ES24),Belgium (avg),Portugal (avg),France (avg),IRELAND (avg),Italy (avg)
1900,988.9929,1370.3165,11869.9377,13975.1823,6446.3683,3227.9958,5039.0093,2461.7045,10936.3506,10927.5238,5579.3438
1901,1019.5757,1398.2753,12161.6619,14191.8634,6492.7496,3269.9060,5162.1572,2467.1065,11080.4108,10896.3217,5742.4507
1902,1051.1043,1426.8046,12460.5557,14411.9042,6539.4646,3312.3604,5288.3147,2472.5203,11226.3686,10865.2087,5910.3259
1903,1083.6078,1455.9159,12766.7954,14635.3566,6586.5156,3355.3660,5417.5554,2477.9459,11374.2490,10834.1845,6083.1087
1904,1117.1164,1485.6213,13080.5614,14862.2735,6633.9053,3398.9299,5549.9545,2483.3835,11524.0774,10803.2489,6260.9427
1905,1151.6612,1515.9327,13402.0387,15092.7088,6681.6358,3443.0594,5685.5894,2488.8330,11675.8794,10772.4017,6443.9755
1906,1187.2743,1546.8625,13731.4170,15326.7169,6729.7098,3487.7619,5824.5390,2494.2945,11829.6811,10741.6425,6632.3591
1907,1223.9886,1578.4234,14068.8902,15564.3532,6778.1297,3533.0448,5966.8844,2499.7679,11985.5087,10710.9711,6826.2499
1908,1261.8383,1610.6283,14414.6574,15805.6740,6826.8980,3578.9156,6112.7086,2505.2534,12143.3890,10680.3874,7025.8090
1909,1300.8584,1643.4902,14768.9225,16050.7364,6876.0171,3625.3819,6262.0966,2510.7509,12303.3490,10649.8909,7231.2019
1910,1341.0851,1677.0227,15131.8942,16299.5984,6925.4897,3672.4515,6415.1354,2516.2604,12465.4161,10619.4815,7442.5993
1911,1372.8078,1729.4479,15309.0513,16788.1507,7153.0357,3775.6971,6342.1051,2565.7884,12671.5655,10635.8601,7482.8387
1912,1405.2810,1783.5119,15488.2824,17291.3465,7388.0581,3881.8453,6269.9063,2616.2913,12881.1242,10652.2639,7523.2957
1913,1438.5222,1839.2660,15669.6118,17809.6248,7630.8024,3990.9777,6198.5293,2667.7882,13094.1486,10668.6930,7563.9714
1914,1472.5498,1896.7631,15853.0642,18343.4375,7881.5225,4103.1782,6127.9649,2720.2987,13310.6958,10685.1475,7604.8670
1915,1507.3823,1956.0575,16038.6643,18893.2504,8140.4802,4218.5330,6058.2038,2773.8429,13530.8243,10701.6273,7645.9838
1916,1543.0387,2017.2055,16226.4374,19459.5429,8407.9464,4337.1309,5989.2368,2828.4409,13754.5932,10718.1325,7687.3228
1917,1579.5385,2080.2651,16416.4088,20042.8091,8684.2005,4459.0630,5921.0550,2884.1136,13982.0627,10734.6632,7728.8853
1918,1616.9018,2145.2960,16608.6044,20643.5577,8969.5312,4584.4230,5853.6494,2940.8821,14213.2940,10751.2194,7770.6726
1919,1655.1488,2212.3598,16803.0500,21262.3127,9264.2370,4713.3074,5787.0111,2998.7680,14448.3494,10767.8012,7812.6858
1920,1694.3006,2281.5201,16999.7721,21899.6138,9568.6256,4845.8151,5721.1315,3057.7933,14687.2920,10784.4085,7854.9261
1921,1734.3785,2352.8424,17198.7974,22556.0169,9883.0153,4982.0481,5656.0018,3117.9803,14930.1862,10801.0414,7897.3948
1922,1775.4044,2426.3943,17400.1527,23232.0945,10207.7348,5122.1111,5591.6135,3179.3521,15177.0973,10817.6999,7940.0931
1923,1817.4007,2502.2454,17603.8655,23928.4364,10543.1233,5266.1117,5527.9583,3241.9318,15428.0918,10834.3842,7983.0223
