series,year,value,unit
Balearic Islands,1900,3173.419054225342,2011 PPP dollars per inhabitant
Balearic Islands,1910,4113.467797774129,2011 PPP dollars per inhabitant
Balearic Islands,1925,5410.96552698806,2011 PPP dollars per inhabitant
Balearic Islands,1938,4330.520052542811,2011 PPP dollars per inhabitant
Balearic Islands,1950,4918.607258204894,2011 PPP dollars per inhabitant
Balearic Islands,1960,6859.65785578363,2011 PPP dollars per inhabitant
Balearic Islands,1970,12381.204520425817,2011 PPP dollars per inhabitant
Balearic Islands,1980,17910.664152155474,2011 PPP dollars per inhabitant
Balearic Islands,1990,24160.46674256804,2011 PPP dollars per inhabitant
Balearic Islands,2000,27821.010177129643,2011 PPP dollars per inhabitant
Balearic Islands,2010,28932.511282471954,2011 PPP dollars per inhabitant
Balearic Islands,2015,35477.51079921178,2011 PPP dollars per inhabitant
Balearic Islands,2016,36129.6226103297,2011 PPP dollars per inhabitant
Balearic Islands,2017,37027.95628638813,2011 PPP dollars per inhabitant
Balearic Islands,2018,37575.24101340247,2011 PPP dollars per inhabitant
Balearic Islands,2019,37624.23588454732,2011 PPP dollars per inhabitant
Balearic Islands,2020,28230.691454448614,2011 PPP dollars per inhabitant
Balearic Islands,2021,31086.26317827383,2011 PPP dollars per inhabitant
Balearic Islands,2022,34837.50008111863,2011 PPP dollars per inhabitant
Extremadura,1900,2543.292232221359,2011 PPP dollars per inhabitant
Extremadura,1910,2661.9122955024686,2011 PPP dollars per inhabitant
Extremadura,1925,2986.3819504554517,2011 PPP dollars per inhabitant
Extremadura,1938,2098.906247445458,2011 PPP dollars per inhabitant
Extremadura,1950,2489.1862558964954,2011 PPP dollars per inhabitant
Extremadura,1960,3132.3204252030623,2011 PPP dollars per inhabitant
Extremadura,1970,5206.916939725565,2011 PPP dollars per inhabitant
Extremadura,1980,8222.240611672987,2011 PPP dollars per inhabitant
Extremadura,1990,11389.898031209697,2011 PPP dollars per inhabitant
Extremadura,2000,16920.101594933665,2011 PPP dollars per inhabitant
Extremadura,2010,23093.93984163148,2011 PPP dollars per inhabitant
Extremadura,2015,23193.787393815594,2011 PPP dollars per inhabitant
Extremadura,2016,23459.76189598719,2011 PPP dollars per inhabitant
Extremadura,2017,24621.17917075419,2011 PPP dollars per inhabitant
Extremadura,2018,25136.786279577278,2011 PPP dollars per inhabitant
Extremadura,2019,25321.496717499605,2011 PPP dollars per inhabitant
Extremadura,2020,23146.194013592245,2011 PPP dollars per inhabitant
Extremadura,2021,24643.7657918527,2011 PPP dollars per inhabitant
Extremadura,2022,25717.884252584863,2011 PPP dollars per inhabitant
Andalucia,1900,3344.2690089304742,2011 PPP dollars per inhabitant
Andalucia,1910,3976.83533544441,2011 PPP dollars per inhabitant
Andalucia,1925,4099.614405482249,2011 PPP dollars per inhabitant
Andalucia,1938,2658.872615020633,2011 PPP dollars per inhabitant
Andalucia,1950,3030.448445484941,2011 PPP dollars per inhabitant
Andalucia,1960,3704.800051845082,2011 PPP dollars per inhabitant
Andalucia,1970,6641.736428617807,2011 PPP dollars per inhabitant
Andalucia,1980,9735.263432744321,2011 PPP dollars per inhabitant
Andalucia,1990,11925.211689903876,2011 PPP dollars per inhabitant
Andalucia,2000,19200.988043930796,2011 PPP dollars per inhabitant
Andalucia,2010,23957.572374059826,2011 PPP dollars per inhabitant
Andalucia,2015,25101.89705316856,2011 PPP dollars per inhabitant
Andalucia,2016,24289.513679811884,2011 PPP dollars per inhabitant
Andalucia,2017,25092.153836875263,2011 PPP dollars per inhabitant
Andalucia,2018,25571.91405986055,2011 PPP dollars per inhabitant
Andalucia,2019,25782.09206251949,2011 PPP dollars per inhabitant
Andalucia,2020,22895.143609121722,2011 PPP dollars per inhabitant
Andalucia,2021,24355.04806259919,2011 PPP dollars per inhabitant
Andalucia,2022,25435.317564320667,2011 PPP dollars per inhabitant
Portugal avg,1900,1729.0000000000002,2011 PPP dollars per inhabitant
Portugal avg,1910,1631.0,2011 PPP dollars per inhabitant
Portugal avg,1925,1920.0000000000005,2011 PPP dollars per inhabitant
Portugal avg,1938,2320.0000000000005,2011 PPP dollars per inhabitant
Portugal avg,1950,2771.0,2011 PPP dollars per inhabitant
Portugal avg,1960,3899.9999999999995,2011 PPP dollars per inhabitant
Portugal avg,1970,7396.000000000001,2011 PPP dollars per inhabitant
Portugal avg,1980,10242.0,2011 PPP dollars per inhabitant
Portugal avg,1990,13916.999999999998,2011 PPP dollars per inhabitant
Portugal avg,2000,21497.0,2011 PPP dollars per inhabitant
Portugal avg,2010,25588.999999999996,2011 PPP dollars per inhabitant
Portugal avg,2015,28475.11800942451,2011 PPP dollars per inhabitant
Portugal avg,2016,25569.0,2011 PPP dollars per inhabitant
Portugal avg,2017,26530.0,2011 PPP dollars per inhabitant
Portugal avg,2018,27329.999999999996,2011 PPP dollars per inhabitant
Portugal avg,2019,28055.999999999993,2011 PPP dollars per inhabitant
Portugal avg,2020,25700.0,2011 PPP dollars per inhabitant
Portugal avg,2021,27137.999999999996,2011 PPP dollars per inhabitant
Portugal avg,2022,28991.999999999996,2011 PPP dollars per inhabitant
Spain avg,1900,3853.0000000000005,2011 PPP dollars per inhabitant
Spain avg,1910,4063.999999999999,2011 PPP dollars per inhabitant
Spain avg,1925,5363.0,2011 PPP dollars per inhabitant
Spain avg,1938,3538.9999999999995,2011 PPP dollars per inhabitant
Spain avg,1950,4200.999999999999,2011 PPP dollars per inhabitant
Spain avg,1960,5471.999999999999,2011 PPP dollars per inhabitant
Spain avg,1970,9218.0,2011 PPP dollars per inhabitant
Spain avg,1980,13352.0,2011 PPP dollars per inhabitant
Spain avg,1990,16764.000000000004,2011 PPP dollars per inhabitant
Spain avg,2000,26424.00000000001,2011 PPP dollars per inhabitant
Spain avg,2010,32160.000000000004,2011 PPP dollars per inhabitant
Spain avg,2015,33944.013087737265,2011 PPP dollars per inhabitant
Spain avg,2016,33003.0,2011 PPP dollars per inhabitant
Spain avg,2017,33924.0,2011 PPP dollars per inhabitant
Spain avg,2018,34553.999999999985,2011 PPP dollars per inhabitant
Spain avg,2019,34956.999999999985,2011 PPP dollars per inhabitant
Spain avg,2020,30835.000000000004,2011 PPP dollars per inhabitant
Spain avg,2021,32552.99999999999,2011 PPP dollars per inhabitant
Spain avg,2022,34122.999999999985,2011 PPP dollars per inhabitant
Ireland avg,1900,3391.720726525324,2011 PPP dollars per inhabitant
