year,arrivals,source,display
1900,500,est_cirer_costa,true
1920,20000,est_cirer_costa,true
1930,20168,barcelo_1966,true
1935,40045,barcelo_1966,true
1945,55000,barcelo_1966,true
1950,98081,barcelo_1966,true
1955,188704,barcelo_1966,true
1960,400029,barcelo_1966,true
1965,1080836,barcelo_1966,true
1959,320000,valdivieso_moranta,true
1974,3170000,valdivieso_moranta,true
1978,3800000,valdivieso_moranta,true
1989,6420000,valdivieso_moranta,true
1993,6880000,valdivieso_moranta,true
2008,12580000,valdivieso_moranta,true
2011,12290000,valdivieso_moranta,true
2015,14010000,valdivieso_moranta,true
2017,16330000,valdivieso_moranta,true
2018,16590000,valdivieso_moranta,true
2019,16450000,valdivieso_moranta,true
2020,3072521,ibestat_frontur,true
2021,8680931,ibestat_frontur,true
2022,16475579,ibestat_frontur,true
2023,17836630,ibestat_frontur,true
2024,18735673,ibestat_frontur,true
2025,19053592,ibestat_frontur,true
